id_direccion,id_cliente,id_tipo_vial,id_nom_vial,id_tipo_vial1,id_nom_vial1,id_tipo_vial2,id_nom_vial2,id_tipo_vial3,id_nom_vial3,numero_ext,numero_int,id_tipo_asent,id_nombre_asent,cod_postal
296,52450,5,11630,9,9598,7,9658,5,8608,1925,#N/A,8,3361,21100
297,112400,10,584,7,10041,6,10109,7,10041,1900,#N/A,8,3163,22430
298,65375,7,11519,5,15119,10,4227,7,14332,0,#N/A,8,2133,21397
299,9276914,7,8495,7,8495,7,17262,6,17746,6,#N/A,8,2862,22890
300,119830,6,13068,7,3502,7,12280,5,2098,0,#N/A,16,3756,22500
301,58400,5,11564,7,12083,7,5477,8,11564,1799,#N/A,8,#N/A,21120
302,153389,5,4003,7,17300,7,12920,6,5382,1889,#N/A,8,5179,22320
303,149797,7,11150,7,986,7,16898,7,11115,322,#N/A,16,4815,21850
304,9284580,5,17313,6,7200,6,6369,5,16303,7002,#N/A,8,4403,22564
305,60176,5,11617,7,6755,7,773,5,14144,151,#N/A,8,3257,21450
306,61950,6,10109,9,8392,7,12051,7,3008,0,#N/A,16,4983,21180
307,92374,6,9979,7,9977,6,1066,7,8627,0,#N/A,16,#N/A,21380
308,9281745,7,13056,7,12280,7,14462,7,13056,20210,#N/A,39,3777,22217
309,82058,9,8318,7,6907,7,7799,7,13142,1420,#N/A,16,5111,21380
310,10676921,5,11106,7,6529,7,14207,5,11130,0,#N/A,8,4533,21850
311,99493,7,17619,7,4777,7,12280,7,12280,,#N/A,8,1549,22785
312,9480545,10,10282,#N/A,1,#N/A,1,#N/A,1,0,#N/A,21,3346,22710
313,3293048,10,6283,7,9003,7,10603,7,12280,0,#N/A,8,1057,21700
314,8194800,10,4280,7,12280,7,12280,7,12280,0,#N/A,21,3346,22710
315,99839,7,12962,23,2734,10,16789,7,12280,300,2,8,1713,22785
316,82061,9,8318,7,7799,7,11075,9,9979,0,#N/A,16,5111,21353
317,9480544,10,4280,#N/A,1,#N/A,1,#N/A,1,0,#N/A,19,3346,22710
318,9395008,6,7924,5,10021,5,14405,6,6888,15602,31,8,2094,22115
319,131087,7,12280,7,3839,7,12280,6,2432,385,#N/A,16,2274,22710
320,8486108,6,6359,6,5694,7,3619,9,13759,9601,#N/A,16,1507,22245
321,119845,22,13007,22,12280,7,12280,18,11076,,#N/A,16,5086,22253
322,9412821,7,4489,5,15757,7,14814,7,3588,8351,#N/A,16,#N/A,22626
323,114791,5,14761,7,4344,7,2446,5,7137,868,9,8,5125,22000
324,9395002,7,5386,7,3616,7,5330,7,12280,,#N/A,8,2599,22645
325,9433585,7,15426,7,3859,7,3869,7,241,21560,#N/A,8,3142,22215
